latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-9.82689,-35.95233,299.7,0.56,0.43,2020-10-02,0318,N,VIIRS,n,2.0NRT,284.8,1.2,N
-9.82511,-35.96281,295.8,0.56,0.43,2020-10-02,0318,N,VIIRS,n,2.0NRT,285.2,1.2,N
-9.8238,-35.94641,300.3,0.56,0.43,2020-10-02,0318,N,VIIRS,n,2.0NRT,285.7,1.3,N
-9.82205,-35.95672,303,0.56,0.43,2020-10-02,0318,N,VIIRS,n,2.0NRT,285.7,1.2,N
-9.81897,-35.95084,296.1,0.56,0.43,2020-10-02,0318,N,VIIRS,n,2.0NRT,285.1,1,N
-8.28949,-42.91177,308,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.5,1.8,N
-8.28406,-42.90551,305.7,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.5,1.8,N
-8.18881,-43.36248,302.8,0.61,0.71,2020-10-02,0318,N,VIIRS,n,2.0NRT,290.7,1.2,N
-8.18774,-43.36799,304.8,0.61,0.71,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.2,1.2,N
-8.18225,-43.36111,302,0.61,0.71,2020-10-02,0318,N,VIIRS,n,2.0NRT,290.8,1.2,N
-8.30467,-42.89803,304.3,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.3,0.8,N
-8.30372,-42.90317,302.9,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.8,2.3,N
-8.28895,-42.9114,308.8,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.9,3.3,N
-8.28349,-42.90509,305.9,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.6,2.1,N
-8.18471,-43.36176,310.3,0.61,0.71,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.3,2.3,N
-8.18369,-43.36718,307.2,0.61,0.71,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.5,3,N
-8.16683,-43.27624,301.1,0.6,0.71,2020-10-02,0318,N,VIIRS,n,2.0NRT,291,0.9,N
-8.16578,-43.28181,305.2,0.6,0.71,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.2,1.8,N
-8.1647,-43.28751,306.5,0.61,0.71,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.2,1.8,N
-8.17777,-42.97213,304.6,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.1,2.4,N
-8.17233,-42.96577,303.6,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.2,1.8,N
-7.96046,-42.70078,302.1,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.5,0.9,N
-7.95951,-42.70581,301.4,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.4,1.6,N
-7.53464,-44.94499,313.7,0.79,0.78,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.3,3,N
